X,Y,Z,Rx,Ry,Rz,time(s),time(ms)
498.624,-1.737,225.608,-179.4667,19.5029,2.2633,11.05105105,11051.05105
498.756,-1.743,225.521,-179.4613,19.4958,2.2689,11.09109109,11091.09109
498.889,-1.748,225.433,-179.4559,19.4887,2.2747,11.13113113,11131.13113
499.022,-1.753,225.345,-179.4504,19.4816,2.2804,11.17117117,11171.17117
499.157,-1.758,225.257,-179.4449,19.4744,2.2862,11.21121121,11211.21121
499.292,-1.764,225.168,-179.4393,19.4671,2.292,11.25125125,11251.25125
499.428,-1.769,225.079,-179.4338,19.4598,2.2978,11.29129129,11291.29129
499.564,-1.775,224.989,-179.4282,19.4525,2.3037,11.33133133,11331.33133
499.702,-1.78,224.898,-179.4225,19.4451,2.3096,11.37137137,11371.37137
499.84,-1.785,224.807,-179.4169,19.4377,2.3155,11.41141141,11411.41141
499.979,-1.791,224.716,-179.4112,19.4303,2.3215,11.45145145,11451.45145
500.118,-1.796,224.624,-179.4055,19.4228,2.3275,11.49149149,11491.49149
500.259,-1.802,224.531,-179.3997,19.4152,2.3335,11.53153153,11531.53153
500.4,-1.808,224.438,-179.3939,19.4077,2.3396,11.57157157,11571.57157
500.542,-1.813,224.345,-179.3881,19.4,2.3457,11.61161161,11611.61161
500.685,-1.819,224.251,-179.3823,19.3924,2.3518,11.65165165,11651.65165
500.829,-1.825,224.156,-179.3764,19.3847,2.358,11.69169169,11691.69169
500.973,-1.83,224.061,-179.3705,19.3769,2.3642,11.73173173,11731.73173
501.118,-1.836,223.966,-179.3645,19.3691,2.3704,11.77177177,11771.77177
501.264,-1.842,223.869,-179.3586,19.3613,2.3767,11.81181181,11811.81181
501.411,-1.848,223.773,-179.3526,19.3534,2.383,11.85185185,11851.85185
501.559,-1.853,223.676,-179.3465,19.3455,2.3893,11.89189189,11891.89189
501.707,-1.859,223.578,-179.3405,19.3375,2.3956,11.93193193,11931.93193
501.856,-1.865,223.48,-179.3344,19.3295,2.402,11.97197197,11971.97197
502.006,-1.871,223.381,-179.3282,19.3215,2.4084,12.01201201,12012.01201
502.157,-1.877,223.282,-179.3221,19.3134,2.4149,12.05205205,12052.05205
502.308,-1.883,223.182,-179.3159,19.3052,2.4214,12.09209209,12092.09209
502.46,-1.889,223.082,-179.3097,19.2971,2.4279,12.13213213,12132.13213
502.613,-1.895,222.981,-179.3034,19.2888,2.4345,12.17217217,12172.17217
502.767,-1.901,222.88,-179.2972,19.2806,2.441,12.21221221,12212.21221
502.922,-1.907,222.778,-179.2908,19.2723,2.4477,12.25225225,12252.25225
503.077,-1.913,222.676,-179.2845,19.2639,2.4543,12.29229229,12292.29229
503.234,-1.92,222.573,-179.2781,19.2555,2.461,12.33233233,12332.33233
503.391,-1.926,222.47,-179.2717,19.2471,2.4677,12.37237237,12372.37237
503.548,-1.932,222.366,-179.2653,19.2386,2.4745,12.41241241,12412.41241
503.707,-1.938,222.261,-179.2588,19.2301,2.4812,12.45245245,12452.45245
503.866,-1.945,222.156,-179.2523,19.2215,2.488,12.49249249,12492.49249
504.026,-1.951,222.051,-179.2458,19.2129,2.4949,12.53253253,12532.53253
504.187,-1.957,221.945,-179.2393,19.2043,2.5018,12.57257257,12572.57257
504.349,-1.964,221.838,-179.2327,19.1956,2.5087,12.61261261,12612.61261
504.512,-1.97,221.731,-179.226,19.1868,2.5156,12.65265265,12652.65265
504.675,-1.977,221.624,-179.2194,19.178,2.5226,12.69269269,12692.69269
504.839,-1.983,221.516,-179.2127,19.1692,2.5296,12.73273273,12732.73273
505.004,-1.99,221.407,-179.206,19.1603,2.5366,12.77277277,12772.77277
505.17,-1.996,221.298,-179.1993,19.1514,2.5437,12.81281281,12812.81281
505.336,-2.003,221.189,-179.1925,19.1425,2.5508,12.85285285,12852.85285
505.504,-2.009,221.078,-179.1857,19.1335,2.5579,12.89289289,12892.89289
505.672,-2.016,220.968,-179.1789,19.1244,2.5651,12.93293293,12932.93293
505.841,-2.023,220.857,-179.172,19.1153,2.5723,12.97297297,12972.97297
506.01,-2.029,220.745,-179.1651,19.1062,2.5795,13.01301301,13013.01301
506.181,-2.036,220.633,-179.1582,19.097,2.5868,13.05305305,13053.05305
506.352,-2.043,220.52,-179.1512,19.0878,2.5941,13.09309309,13093.09309
506.524,-2.05,220.407,-179.1442,19.0786,2.6014,13.13313313,13133.13313
506.697,-2.057,220.293,-179.1372,19.0693,2.6088,13.17317317,13173.17317
506.871,-2.063,220.178,-179.1302,19.0599,2.6162,13.21321321,13213.21321
507.045,-2.07,220.064,-179.1231,19.0505,2.6236,13.25325325,13253.25325
507.22,-2.077,219.948,-179.116,19.0411,2.6311,13.29329329,13293.29329
507.396,-2.084,219.832,-179.1088,19.0316,2.6386,13.33333333,13333.33333
507.573,-2.091,219.716,-179.1017,19.0221,2.6461,13.37337337,13373.37337
507.751,-2.098,219.599,-179.0945,19.0125,2.6536,13.41341341,13413.41341
507.929,-2.105,219.481,-179.0872,19.0029,2.6612,13.45345345,13453.45345
508.108,-2.112,219.363,-179.08,18.9932,2.6688,13.49349349,13493.49349
508.288,-2.12,219.245,-179.0727,18.9835,2.6765,13.53353353,13533.53353
508.469,-2.127,219.126,-179.0653,18.9738,2.6842,13.57357357,13573.57357
508.651,-2.134,219.006,-179.058,18.964,2.6919,13.61361361,13613.61361
